,service_id,trip_id,direction,route_id
0,y1003,14677.y1003.60-11-d12-1.16.I,2,11
1,y1003,14678.y1003.60-11-d12-1.15.O,1,11
2,y1003,14679.y1003.60-11-d12-1.16.I,2,11
3,y1003,14680.y1003.60-11-d12-1.15.O,1,11
4,y1003,14681.y1003.60-11-d12-1.16.I,2,11
5,y1003,14682.y1003.60-11-d12-1.15.O,1,11
6,y1003,14683.y1003.60-11-d12-1.16.I,2,11
7,y1003,14684.y1003.60-11-d12-1.15.O,1,11
8,y1003,14685.y1003.60-11-d12-1.16.I,2,11
9,y1003,14686.y1003.60-11-d12-1.15.O,1,11
10,y1003,14687.y1003.60-11-d12-1.16.I,2,11
11,y1003,14688.y1003.60-11-d12-1.15.O,1,11
12,y1003,14689.y1003.60-11-d12-1.16.I,2,11
13,y1003,14690.y1003.60-11-d12-1.15.O,1,11
14,y1003,14691.y1003.60-11-d12-1.16.I,2,11
15,y1003,14692.y1003.60-11-d12-1.15.O,1,11
16,y1003,14693.y1003.60-11-d12-1.16.I,2,11
17,y1003,14694.y1003.60-11-d12-1.15.O,1,11
18,y1003,14695.y1003.60-11-d12-1.16.I,2,11
19,y1003,14696.y1003.60-11-d12-1.15.O,1,11
20,y1003,14697.y1003.60-11-d12-1.16.I,2,11
21,y1003,14698.y1003.60-11-d12-1.15.O,1,11
22,y1003,14699.y1003.60-11-d12-1.16.I,2,11
23,y1003,14700.y1003.60-11-d12-1.14.O,1,11
24,y1003,14701.y1003.60-11-d12-1.16.I,2,11
25,y1003,14702.y1003.60-11-d12-1.15.O,1,11
26,y1003,14703.y1003.60-11-d12-1.16.I,2,11
27,y1003,14704.y1003.60-11-d12-1.15.O,1,11
28,y1003,14705.y1003.60-11-d12-1.16.I,2,11
29,y1003,14706.y1003.60-11-d12-1.15.O,1,11
30,y1003,14707.y1003.60-11-d12-1.16.I,2,11
31,y1003,14708.y1003.60-11-d12-1.15.O,1,11
32,y1003,14709.y1003.60-11-d12-1.16.I,2,11
33,y1003,14710.y1003.60-11-d12-1.15.O,1,11
34,y1003,14711.y1003.60-11-d12-1.16.I,2,11
35,y1003,14712.y1003.60-11-d12-1.15.O,1,11
36,y1003,14713.y1003.60-11-d12-1.16.I,2,11
37,y1003,14714.y1003.60-11-d12-1.15.O,1,11
38,y1003,14715.y1003.60-11-d12-1.16.I,2,11
39,y1003,14716.y1003.60-11-d12-1.15.O,1,11
40,y1003,14717.y1003.60-11-d12-1.16.I,2,11
41,y1003,14718.y1003.60-11-d12-1.15.O,1,11
42,y1003,14719.y1003.60-11-d12-1.17.I,2,11
43,y1003,14720.y1003.60-11-d12-1.16.I,2,11
44,y1003,14721.y1003.60-11-d12-1.15.O,1,11
45,y1003,14722.y1003.60-11-d12-1.16.I,2,11
46,y1003,14723.y1003.60-11-d12-1.15.O,1,11
47,y1003,14724.y1003.60-11-d12-1.16.I,2,11
48,y1003,14725.y1003.60-11-d12-1.15.O,1,11
49,y1003,14726.y1003.60-11-d12-1.16.I,2,11
50,y1003,14727.y1003.60-11-d12-1.16.I,2,11
51,y1003,14728.y1003.60-11-d12-1.15.O,1,11
52,y1003,14729.y1003.60-11-d12-1.16.I,2,11
53,y1003,14730.y1003.60-11-d12-1.15.O,1,11
54,y1003,14731.y1003.60-11-d12-1.16.I,2,11
55,y1003,14732.y1003.60-11-d12-1.15.O,1,11
56,y1003,14733.y1003.60-11-d12-1.17.I,2,11
57,y1002,3258.y1002.60-11-d12-1.16.I,2,11
58,y1002,3259.y1002.60-11-d12-1.15.O,1,11
59,y1002,3260.y1002.60-11-d12-1.16.I,2,11
60,y1002,3261.y1002.60-11-d12-1.15.O,1,11
61,y1002,3262.y1002.60-11-d12-1.16.I,2,11
62,y1002,3263.y1002.60-11-d12-1.15.O,1,11
63,y1002,3264.y1002.60-11-d12-1.16.I,2,11
64,y1002,3265.y1002.60-11-d12-1.15.O,1,11
65,y1002,3266.y1002.60-11-d12-1.16.I,2,11
66,y1002,3267.y1002.60-11-d12-1.15.O,1,11
67,y1002,3268.y1002.60-11-d12-1.16.I,2,11
68,y1002,3269.y1002.60-11-d12-1.15.O,1,11
69,y1002,3270.y1002.60-11-d12-1.15.O,1,11
70,y1002,3271.y1002.60-11-d12-1.16.I,2,11
71,y1002,3272.y1002.60-11-d12-1.16.I,2,11
72,y1002,3273.y1002.60-11-d12-1.15.O,1,11
73,y1002,3274.y1002.60-11-d12-1.15.O,1,11
74,y1002,3275.y1002.60-11-d12-1.16.I,2,11
75,y1002,3276.y1002.60-11-d12-1.15.O,1,11
76,y1002,3277.y1002.60-11-d12-1.16.I,2,11
77,y1002,3278.y1002.60-11-d12-1.15.O,1,11
78,y1002,3279.y1002.60-11-d12-1.16.I,2,11
79,y1002,3280.y1002.60-11-d12-1.15.O,1,11
80,y1002,3281.y1002.60-11-d12-1.16.I,2,11
81,y1002,3282.y1002.60-11-d12-1.15.O,1,11
82,y1002,3283.y1002.60-11-d12-1.16.I,2,11
83,y1002,3284.y1002.60-11-d12-1.15.O,1,11
84,y1002,3285.y1002.60-11-d12-1.15.O,1,11
85,y1002,3286.y1002.60-11-d12-1.16.I,2,11
86,y1002,3287.y1002.60-11-d12-1.16.I,2,11
87,y1002,3288.y1002.60-11-d12-1.15.O,1,11
88,y1002,3289.y1002.60-11-d12-1.16.I,2,11
89,y1002,3290.y1002.60-11-d12-1.15.O,1,11
90,y1002,3291.y1002.60-11-d12-1.16.I,2,11
91,y1002,3292.y1002.60-11-d12-1.15.O,1,11
92,y1002,3293.y1002.60-11-d12-1.16.I,2,11
93,y1002,3294.y1002.60-11-d12-1.15.O,1,11
94,y1002,3295.y1002.60-11-d12-1.15.O,1,11
95,y1002,3296.y1002.60-11-d12-1.16.I,2,11
96,y1002,3297.y1002.60-11-d12-1.15.O,1,11
97,y1002,3298.y1002.60-11-d12-1.16.I,2,11
98,y1002,3299.y1002.60-11-d12-1.15.O,1,11
99,y1002,3300.y1002.60-11-d12-1.16.I,2,11
100,y1002,3301.y1002.60-11-d12-1.15.O,1,11
101,y1002,3302.y1002.60-11-d12-1.16.I,2,11
102,y1002,3303.y1002.60-11-d12-1.15.O,1,11
103,y1002,3304.y1002.60-11-d12-1.16.I,2,11
104,y1002,3305.y1002.60-11-d12-1.15.O,1,11
105,y1002,3306.y1002.60-11-d12-1.16.I,2,11
106,y1002,3307.y1002.60-11-d12-1.15.O,1,11
107,y1002,3308.y1002.60-11-d12-1.16.I,2,11
108,y1002,3309.y1002.60-11-d12-1.15.O,1,11
109,y1002,3310.y1002.60-11-d12-1.15.O,1,11
110,y1002,3311.y1002.60-11-d12-1.15.O,1,11
111,y1002,3312.y1002.60-11-d12-1.15.O,1,11
112,y1002,3313.y1002.60-11-d12-1.16.I,2,11
113,y1002,3327.y1002.60-11-d12-1.16.I,2,11
114,y1002,3328.y1002.60-11-d12-1.15.O,1,11
115,y1002,3329.y1002.60-11-d12-1.16.I,2,11
116,y1002,3330.y1002.60-11-d12-1.15.O,1,11
117,y1002,3331.y1002.60-11-d12-1.16.I,2,11
118,y1002,3332.y1002.60-11-d12-1.14.O,1,11
119,y1002,3333.y1002.60-11-d12-1.16.I,2,11
