,daytime,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_id,weather_main,weather_description,weather_icon,month,hour
0,1514764800,4.15,-6.49,3.84,5.79,990,87,12.86,240,40,520,Rain,light intensity shower rain,09n,1,0
1,1514768400,4.14,-5.79,3.65,5.86,991,87,11.83,240,75,520,Rain,light intensity shower rain,09n,1,1
2,1514772000,4.61,-5.77,3.85,5.99,990,81,12.35,240,40,802,Clouds,scattered clouds,03n,1,2
3,1514775600,4.64,-5.73,4.0,6.14,990,81,12.35,240,40,802,Clouds,scattered clouds,03n,1,3
4,1514779200,5.04,-4.91,4.11,6.22,990,81,11.83,240,40,802,Clouds,scattered clouds,03n,1,4
5,1514782800,5.0,-3.15,3.78,6.07,990,81,9.26,240,75,803,Clouds,broken clouds,04n,1,5
6,1514786400,4.57,-2.21,3.42,5.9,990,81,7.2,240,75,803,Clouds,broken clouds,04n,1,6
7,1514790000,4.11,-1.5,3.25,5.84,991,87,5.66,230,75,803,Clouds,broken clouds,04n,1,7
8,1514793600,4.05,-2.29,3.39,5.35,991,87,6.69,240,75,803,Clouds,broken clouds,04n,1,8
9,1514797200,4.08,-2.98,3.55,5.47,992,87,7.72,240,40,802,Clouds,scattered clouds,03d,1,9
10,1514800800,5.02,-3.49,4.49,5.84,992,81,9.77,240,40,802,Clouds,scattered clouds,03d,1,10
11,1514804400,6.01,-4.14,5.64,6.56,994,81,12.35,260,40,802,Clouds,scattered clouds,03d,1,11
12,1514808000,7.01,-3.12,6.71,7.4,994,76,12.35,270,75,803,Clouds,broken clouds,04d,1,12
13,1514811600,7.43,-2.82,6.78,8.0,996,81,12.86,280,75,520,Rain,light intensity shower rain,09d,1,13
14,1514815200,6.65,-3.38,6.0,7.89,998,81,12.35,280,40,802,Clouds,scattered clouds,03d,1,14
15,1514818800,6.63,-2.85,6.0,7.87,999,87,11.83,290,75,520,Rain,light intensity shower rain,09d,1,15
16,1514822400,6.18,-2.85,6.0,7.62,1001,81,10.8,280,40,802,Clouds,scattered clouds,03d,1,16
17,1514826000,5.66,-2.38,5.0,7.29,1003,81,9.26,280,20,801,Clouds,few clouds,02n,1,17
18,1514829600,5.22,-0.92,5.0,7.0,1004,87,6.69,280,20,801,Clouds,few clouds,02n,1,18
19,1514833200,5.18,-2.05,5.0,6.85,1006,87,8.23,270,40,802,Clouds,scattered clouds,03n,1,19
20,1514836800,5.14,-2.27,4.87,6.69,1007,81,8.23,260,40,802,Clouds,scattered clouds,03n,1,20
21,1514840400,4.27,-3.64,4.0,6.53,1007,81,8.75,260,40,802,Clouds,scattered clouds,03n,1,21
22,1514844000,3.38,-3.95,3.0,6.2,1008,81,7.72,260,40,802,Clouds,scattered clouds,03n,1,22
23,1514847600,4.18,-2.82,3.94,6.07,1008,75,7.2,260,40,802,Clouds,scattered clouds,03n,1,23
24,1514851200,3.71,-2.28,3.0,5.8,1008,75,5.66,240,40,802,Clouds,scattered clouds,03n,1,0
25,1514854800,4.03,-2.27,2.45,5.62,1008,75,6.17,250,75,803,Clouds,broken clouds,04n,1,1
26,1514858400,4.44,0.35,2.91,5.68,1008,75,3.09,190,75,803,Clouds,broken clouds,04n,1,2
